cod_ibge;municipio;populacao_2000;populacao_2010;populacao_2020;populacao_2030;populacao_2040;populacao_2050;tx_crescimentopop_2000/2010;tx_crescimentopop_2010/2020;tx_crescimentopop_2020/2030;tx_crescimentopop_2030/2040;tx_crescimentopop_2040/2050
3539608;Planalto;3.668;4.456;5.167;5.661;5.939;6.073;1,97;1,49;0,92;0,48;0,22
3539707;Platina;2.867;3.189;3.501;3.752;3.942;4.057;1,07;0,94;0,69;0,5;0,29
3539806;Poá;95.597;105.924;115.538;122.260;125.828;126.628;1,03;0,87;0,57;0,29;0,06
3539905;Poloni;4.771;5.390;5.667;5.757;5.692;5.478;1,23;0,5;0,16;-0,11;-0,38
3540002;Pompéia;18.162;19.948;21.282;22.142;22.234;21.710;0,94;0,65;0,4;0,04;-0,24
3540101;Pongaí;3.692;3.483;3.351;3.234;3.049;2.815;-0,58;-0,39;-0,35;-0,59;-0,8
3540200;Pontal;29.608;40.142;49.283;54.836;58.193;59.487;3,09;2,07;1,07;0,6;0,22
3540259;Pontalinda;3.536;4.069;4.487;4.728;4.837;4.832;1,41;0,98;0,52;0,23;-0,01
3540309;Pontes Gestal;2.543;2.518;2.528;2.529;2.502;2.424;-0,1;0,04;0;-0,11;-0,32
3540408;Populina;4.452;4.225;3.995;3.806;3.571;3.284;-0,52;-0,56;-0,48;-0,64;-0,83
3540507;Porangaba;6.642;8.310;9.310;9.900;10.030;9.903;2,27;1,14;0,62;0,13;-0,13
3540606;Porto Feliz;45.424;48.864;51.697;53.418;53.542;52.121;0,73;0,57;0,33;0,02;-0,27
3540705;Porto Ferreira;47.343;51.366;54.102;55.396;55.546;54.098;0,82;0,52;0,24;0,03;-0,26
3540754;Potim;13.562;19.340;20.702;21.719;22.140;21.888;3,61;0,68;0,48;0,19;-0,11
3540804;Potirendaba;13.631;15.433;16.605;17.157;17.085;16.520;1,25;0,73;0,33;-0,04;-0,34
3540853;Pracinha;1.432;2.842;2.913;2.963;2.979;2.957;7,09;0,25;0,17;0,05;-0,07
3540903;Pradópolis;12.880;17.334;20.907;23.231;24.506;25.059;3,01;1,89;1,06;0,54;0,22
3541000;Praia Grande;192.769;261.391;316.844;354.070;373.470;382.757;3,09;1,94;1,12;0,53;0,25
3541059;Pratânia;3.941;4.593;5.156;5.673;5.977;6.112;1,54;1,16;0,96;0,52;0,22
3541109;Presidente Alves;4.319;4.125;4.020;3.923;3.783;3.579;-0,46;-0,26;-0,24;-0,36;-0,55
3541208;Presidente Bernardes;14.650;13.579;13.720;13.540;12.974;12.045;-0,76;0,1;-0,13;-0,43;-0,74
3541307;Presidente Epitácio;39.254;41.301;42.400;43.029;42.830;41.598;0,51;0,26;0,15;-0,05;-0,29
3541406;Presidente Prudente;188.949;207.449;221.073;227.646;226.151;218.067;0,94;0,64;0,29;-0,07;-0,36
3541505;Presidente Venceslau;37.335;37.905;38.005;37.554;36.545;34.532;0,15;0,03;-0,12;-0,27;-0,56
3541604;Promissão;31.073;35.633;39.667;42.748;44.490;44.835;1,38;1,08;0,75;0,4;0,08
3541653;Quadra;2.643;3.231;3.708;4.044;4.212;4.237;2,03;1,39;0,87;0,41;0,06
3541703;Quatá;11.652;12.789;13.935;14.760;15.123;15.075;0,94;0,86;0,58;0,24;-0,03
3541802;Queiroz;2.169;2.802;3.279;3.660;3.869;3.943;2,59;1,58;1,11;0,56;0,19
3541901;Queluz;9.098;11.289;12.644;13.453;13.757;13.605;2,18;1,14;0,62;0,22;-0,11
3542008;Quintana;5.440;5.999;6.500;6.834;6.968;6.940;0,98;0,81;0,5;0,19;-0,04
3542107;Rafard;8.362;8.610;8.976;9.323;9.493;9.418;0,29;0,42;0,38;0,18;-0,08
